name,jurisdiction
BANK MARKAZI JOMHOURI ISLAMI IRAN,ir
BANK MASKAN,ir
BANK REFAH KARGARAN,ir
BANK KESHAVARZI IRAN,ir
BANK SADERAT PLC,ir
AEROSPACE INDUSTRIES ORGANIZATION,ir
DEFENSE INDUSTRIES ORGANIZATION,ir
BANK SADERAT IRAN,ir
ISLAMIC REVOLUTIONARY GUARD CORPS,ir
MINISTRY OF DEFENSE AND ARMED FORCES LOGISTICS,ir
ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE,ir
IRAN ELECTRONICS INDUSTRIES,ir
IRAN AIRCRAFT MANUFACTURING INDUSTRIAL COMPANY,ir
NATIONAL IRANIAN OIL COMPANY,ir
NAFTIRAN INTERTRADE CO. LIMITED,ir
NAFTIRAN INTERTRADE CO. SARL,ir
IRANIAN MINES AND MINING INDUSTRIES DEVELOPMENT AND RENOVATION ORGANIZATION,ir
ASCOTEC HOLDING GMBH,ir
ASCOTEC JAPAN K.K.,ir
METAL & MINERAL TRADE S.A.R.L.,ir
IRASCO S.R.L.,ir
MINES AND METALS ENGINEERING GMBH,ir
ASCOTEC STEEL TRADING GMBH,ir
ASCOTEC MINERAL & MACHINERY GMBH,ir
ASCOTEC SCIENCE & TECHNOLOGY GMBH,ir
BREYELLER STAHL TECHNOLOGY GMBH & CO. KG,ir
NATIONAL PETROCHEMICAL COMPANY,ir
IRAN PETROCHEMICAL COMMERCIAL COMPANY,ir
NPC INTERNATIONAL,ir
INTRA CHEM TRADING GMBH,ir
PETROCHEMICAL COMMERCIAL COMPANY INTERNATIONAL,ir
P.C.C. (SINGAPORE) PRIVATE LIMITED,ir
PETROCHEMICAL COMMERCIAL COMPANY FZE,ir
PETROCHEMICAL COMMERCIAL COMPANY (U.K.) LIMITED,ir
IRAN FOREIGN INVESTMENT COMPANY,ir
IFIC HOLDING AG,ir
IHAG TRADING GMBH,ir
NATIONAL IRANIAN OIL COMPANY PTE LTD,ir
IRAN INSURANCE COMPANY,ir
BIMEH IRAN INSURANCE COMPANY (U.K.) LIMITED,ir
PETROPARS LTD.,ir
PETROPARS INTERNATIONAL FZE,ir
PETROPARS UK LIMITED,ir
KALA LIMITED,ir
KALA PENSION TRUST LIMITED,ir
IRANIAN OIL COMPANY (U.K.) LIMITED,ir
NIOC INTERNATIONAL AFFAIRS (LONDON) LIMITED,ir
NAFTIRAN TRADING SERVICES CO. (NTS) LIMITED,ir
PETROIRAN DEVELOPMENT COMPANY (PEDCO) LIMITED,ir
NICO ENGINEERING LIMITED,ir
INDUSTRIAL DEVELOPMENT AND RENOVATION ORGANIZATION OF IRAN,ir
MACHINE SAZI ARAK CO. LTD.,ir
WEST SUN TRADE GMBH,ir
ONERBANK ZAO,ir
MSP KALA NAFT CO. TEHRAN,ir
MAHAB GHODSS CONSULTING ENGINEERING COMPANY,ir
IRANIAN MINISTRY OF INTELLIGENCE AND SECURITY,ir
PARS OIL AND GAS COMPANY,ir
BONYAD TAAVON SEPAH,ir
ANSAR BANK,ir
BASIJ RESISTANCE FORCE,ir
LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN,ir
